Year,Pacific,Atlantic,Central,Northwest,Southwest,Southeast 
1980,1,0,0,0,0,0
1981,1,1,0,0,0,0
1982,2,1,0,0,0,0
1983,2,2,0,0,0,0
1984,2,3,0,0,0,0
1985,3,3,0,0,0,0
1986,3,4,0,0,0,0
1987,4,4,0,0,0,0
1988,5,4,0,0,0,0
1989,5,4,1,0,0,0
1990,5,4,2,0,0,0
1991,5,4,3,0,0,0
1992,5,4,4,0,0,0
1993,5,4,5,0,0,0
1994,5,4,5,0,1,0
1995,5,4,5,0,2,0
1996,5,4,6,0,2,0
1997,5,4,7,0,2,0
1998,5,4,8,0,2,0
1999,5,4,8,0,3,0
2000,6,4,8,0,3,0
2001,7,4,8,0,3,0
2002,8,4,8,0,3,0
2003,8,4,8,0,4,0
2004,8,4,9,0,4,0
2005,8,4,9,0,5,0
2006,8,4,9,0,5,0
2007,8,4,9,0,6,0
2008,8,5,9,0,6,0
2009,9,5,9,0,6,0
2010,10,5,9,0,6,0
2011,10,5,9,0,7,0
2012,10,5,9,0,7,0
2013,10,5,9,0,7,0
2014,10,5,9,0,8,0
2015,11,5,9,0,8,0
2016,11,5,10,0,8,0
2017,12,5,10,0,8,0
2018,13,5,10,0,8,0
2019,13,6,10,0,8,0